Ball,Frequency,Last Seen
1,86,3  Draws Ago
2,83,1  Draw Ago
3,85,2  Draws Ago
4,75,10  Draws Ago
5,81,14  Draws Ago
6,89,10  Draws Ago
7,90,2  Draws Ago
8,85,3  Draws Ago
9,90,7  Draws Ago
10,101,6  Draws Ago
11,94,1  Draw Ago
12,95,11  Draws Ago
13,90,4  Draws Ago
14,79,1  Draw Ago
15,96,2  Draws Ago
16,85,20  Draws Ago
17,87,14  Draws Ago
18,90,1  Draw Ago
19,95,2  Draws Ago
20,74,2  Draws Ago
21,95,13  Draws Ago
22,101,3  Draws Ago
23,90,3  Draws Ago
24,90,13  Draws Ago
25,76,9  Draws Ago
26,97,8  Draws Ago
27,90,1  Draw Ago
28,89,7  Draws Ago
29,93,6  Draws Ago
30,87,3  Draws Ago
31,92,6  Draws Ago
32,84,10  Draws Ago
33,75,3  Draws Ago
34,69,10  Draws Ago
35,87,1  Draw Ago
36,80,4  Draws Ago
37,102,1  Draw Ago
38,93,6  Draws Ago
39,74,22  Draws Ago
40,92,4  Draws Ago
41,82,5  Draws Ago
42,80,8  Draws Ago
